Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,Martinius ELVEBAKKEN POSITION,Martinius ELVEBAKKEN LAP TIME,Martinius ELVEBAKKEN ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME
1,7.32,7.32,4,7.53,7.53,1,7.32,7.32,5,7.88,7.88,3,7.34,7.34
3,9.70,17.02,4,9.80,17.33,2,9.59,16.91,5,9.98,17.86,1,8.90,16.24
3,9.01,26.03,4,9.35,26.68,2,9.01,25.92,5,9.62,27.48,1,8.63,24.87
3,9.00,35.03,4,9.52,36.20,2,9.03,34.95,5,9.75,37.23,1,9.01,33.88
3,9.38,44.41,4,9.82,46.02,2,9.21,44.16,5,9.99,47.22,1,9.30,43.18
