Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
1,8.22,8.22,4,8.61,8.61,3,8.49,8.49,2,8.32,8.32,5,8.76,8.76
1,11.42,19.64,4,11.46,20.07,2,11.29,19.78,3,11.59,19.91,5,11.46,20.22
1,10.74,30.38,4,10.59,30.66,2,10.69,30.47,3,10.63,30.54,5,10.55,30.77
1,10.89,41.27,3,10.74,41.40,2,10.82,41.29,4,10.89,41.43,5,10.78,41.55
2,10.14,51.41,4,10.15,51.55,1,10.10,51.39,3,10.05,51.48,5,10.03,51.58
1,9.76,1:01.17,5,9.99,1:01.54,2,9.87,1:01.26,3,9.84,1:01.32,4,9.84,1:01.42
1,10.19,1:11.36,5,10.21,1:11.75,2,10.18,1:11.44,3,10.20,1:11.52,4,10.24,1:11.66
1,10.33,1:21.69,5,10.30,1:22.05,2,10.33,1:21.77,3,10.32,1:21.84,4,10.33,1:21.99
1,10.19,1:31.88,5,10.26,1:32.31,2,10.18,1:31.95,3,10.20,1:32.04,4,10.17,1:32.16
1,10.02,1:41.90,5,10.08,1:42.39,2,10.03,1:41.98,3,10.03,1:42.07,4,10.15,1:42.31
1,10.08,1:51.98,4,9.92,1:52.31,2,10.08,1:52.06,3,10.09,1:52.16,5,10.35,1:52.66
1,10.19,2:02.17,4,10.17,2:02.48,2,10.21,2:02.27,3,10.21,2:02.37,5,10.73,2:03.39
1,10.28,2:12.45,4,10.34,2:12.82,2,10.29,2:12.56,3,10.28,2:12.65,5,11.39,2:14.78
1,10.30,2:22.750,4,10.44,2:23.252,2,10.29,2:22.849,3,10.30,2:22.942,5,11.88,2:26.657
