Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,12.11,12.11,4,12.35,12.35,3,12.28,12.28,1,11.94,,6,12.68,12.68,5,12.56,12.56
5,16.43,28.54,3,15.97,28.32,2,15.92,28.20,4,16.46,,6,15.94,28.62,1,15.51,28.07
6,14.23,42.77,4,14.14,42.46,3,14.10,42.30,5,14.19,,1,13.56,42.18,2,14.13,42.20
6,12.51,55.28,4,12.58,55.04,3,12.64,54.94,5,12.58,,1,12.61,54.79,2,12.70,54.90
6,11.80,1:07.08,5,11.96,1:07.00,3,11.83,1:06.77,1,11.37,,4,12.10,1:06.89,2,11.78,1:06.68
6,10.66,1:17.74,5,10.62,1:17.62,2,10.49,1:17.26,3,10.73,,4,10.63,1:17.52,1,10.47,1:17.15
6,9.79,1:27.53,5,9.80,1:27.42,3,9.92,1:27.18,3,9.91,,2,9.60,1:27.12,1,9.94,1:27.09
6,9.28,1:36.81,5,9.29,1:36.71,4,9.39,1:36.57,3,9.28,,1,9.30,1:36.42,2,9.36,1:36.45
5,9.02,1:45.83,4,9.03,1:45.74,2,9.09,1:45.66,3,9.27,,6,9.70,1:46.12,1,9.10,1:45.55
4,8.83,1:54.66,5,9.02,1:54.76,3,8.87,1:54.53,1,8.59,,6,8.76,1:54.88,2,8.85,1:54.40
4,8.56,2:03.22,5,8.59,2:03.35,3,8.58,2:03.11,1,8.64,,6,8.66,2:03.54,2,8.65,2:03.05
4,8.78,2:12.00,5,8.73,2:12.08,2,8.71,2:11.82,1,8.80,,6,8.82,2:12.36,3,8.89,2:11.94
5,9.08,2:21.08,4,8.93,2:21.01,1,8.87,2:20.69,2,8.95,,6,8.96,2:21.32,3,8.92,2:20.86
4,9.10,2:30.183,3,9.01,2:30.024,1,9.04,2:29.73,2,9.14,,6,9.67,2:30.99,3,9.11,2:29.97
