Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,6.75,6.75,2,7.03,7.03,3,7.06,7.06,4,7.11,7.11
1,9.21,15.96,2,9.05,16.09,4,9.10,16.17,3,9.00,16.12
1,8.40,24.36,3,8.47,24.57,0,,,2,8.42,24.55
3,8.74,33.11,4,8.54,33.11,2,0.00,33.10,1,8.42,32.97
1,8.72,41.823,0,,DQ,3,9.27,42.363,2,8.97,41.934
