Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
0,8.121,8.121,0,8.561,8.561,0,8.253,8.253,0,8.423,8.423,0,8.462,8.462,0,8.920,8.920
0,11.443,19.565,0,11.559,20.120,0,11.293,19.546,0,11.268,19.690,0,11.262,19.724,0,10.934,19.854
0,10.877,30.441,0,10.867,30.987,0,10.921,30.467,0,10.796,30.486,0,10.811,30.535,0,11.004,30.858
0,10.742,41.183,0,10.685,41.672,0,10.774,41.241,0,10.695,41.182,0,10.778,41.313,0,10.586,41.444
0,10.083,51.266,0,10.312,51.983,0,10.119,51.360,0,10.202,51.383,0,10.058,51.371,0,10.296,51.740
0,10.508,1:01.774,0,10.098,1:02.081,0,10.258,1:01.618,0,10.482,1:01.865,0,10.057,1:01.429,0,10.172,1:01.912
0,10.080,1:11.854,0,10.310,1:12.390,0,10.196,1:11.814,0,9.825,1:11.690,0,10.252,1:11.681,0,10.137,1:12.049
0,9.603,1:21.457,0,10.437,1:22.828,0,9.943,1:21.757,0,9.902,1:21.592,0,9.964,1:21.645,0,9.847,1:21.896
0,10.350,1:31.806,0,10.652,1:33.480,0,10.293,1:32.050,0,10.247,1:31.839,0,10.200,1:31.845,0,10.335,1:32.230
0,10.293,1:42.099,0,11.021,1:44.502,0,10.229,1:42.279,0,10.298,1:42.137,0,10.258,1:42.103,0,10.230,1:42.461
0,9.820,1:51.919,0,11.639,1:56.140,0,10.255,1:52.534,0,9.821,1:51.958,0,9.949,1:52.052,0,9.992,1:52.453
0,9.847,2:01.766,0,12.505,2:08.645,0,10.354,2:02.888,0,9.906,2:01.864,0,9.683,2:01.736,0,9.692,2:02.145
0,9.557,2:11.323,0,13.760,2:22.405,0,10.732,2:13.620,0,9.635,2:11.499,0,9.714,2:11.450,0,9.970,2:12.114
0,,,0,,,0,,,0,,,0,,,0,,
