Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
1,13.55,13.55,3,13.63,13.63,2,13.57,13.57,4,13.81,13.81
2,10.70,24.25,4,10.78,24.41,1,10.61,24.18,3,10.55,24.36
3,10.33,34.58,4,10.19,34.60,2,10.31,34.49,1,10.04,34.40
4,9.56,44.14,1,9.24,43.84,2,9.47,43.96,3,9.64,44.04
4,9.56,53.70,1,9.50,53.34,2,9.49,53.45,3,9.51,53.55
4,9.41,1:03.11,1,9.51,1:02.85,2,9.49,1:02.94,3,9.47,1:03.02
3,9.09,1:12.20,1,9.25,1:12.10,4,9.31,1:12.25,2,9.16,1:12.18
3,9.48,1:21.68,1,9.10,1:21.20,2,9.27,1:21.52,4,9.79,1:21.97
0,,PEN,1,9.29,1:30.482,2,9.01,1:30.526,0,,PEN
