LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME
4,9.81,9.81,5,9.93,9.93,3,9.56,9.56,6,10.11,10.11,1,9.24,9.24,2,9.40,9.40
4,12.41,22.22,5,12.36,22.29,3,12.47,22.03,6,12.19,22.30,1,12.54,21.78,2,12.50,21.90
4,12.48,34.70,5,12.46,34.75,3,12.49,34.52,6,12.53,34.83,1,12.46,34.24,2,12.50,34.40
5,12.30,47.00,4,12.05,46.80,3,12.21,46.73,6,12.30,47.13,1,12.25,46.49,2,12.20,46.60
5,12.23,59.23,4,12.26,59.06,3,12.20,58.93,6,12.22,59.35,1,12.25,58.74,2,12.25,58.85
4,11.66,1:10.89,5,11.89,1:10.95,3,11.89,1:10.82,6,11.66,1:11.01,1,11.90,1:10.64,2,11.89,1:10.74
1,10.09,1:20.98,6,10.32,1:21.27,5,10.34,1:21.16,4,10.12,1:21.13,3,10.42,1:21.06,2,10.25,1:20.99
2,10.06,1:31.04,5,10.02,1:31.29,3,9.94,1:31.10,4,10.09,1:31.22,6,20.08,1:41.14,1,9.91,1:30.90
2,10.29,1:41.33,5,10.33,1:41.62,4,10.42,1:41.52,3,10.18,1:41.40,6,16.81,1:57.95,1,10.33,1:41.23
2,10.70,1:52.03,5,10.61,1:52.23,3,10.60,1:52.12,4,10.79,1:52.19,6,13.30,2:11.25,1,10.69,1:51.92
3,10.32,2:02.35,5,10.14,2:02.37,4,10.24,2:02.36,2,10.13,2:02.32,6,12.77,2:24.02,1,10.22,2:02.14
3,10.10,2:12.45,4,10.20,2:12.57,5,25.28,2:27.64,2,9.92,2:12.24,6,12.22,2:36.24,1,10.00,2:12.14
3,9.84,2:22.29,4,9.86,2:22.43,5,14.38,2:42.02,2,10.02,2:22.26,6,12.12,2:48.36,1,9.99,2:22.13
2,9.92,2:32.201,3,9.95,2:32.377,4,14.07,2:56.087,0,,PEN,5,14.39,3:02.742,1,10.01,2:32.139
