Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
1,9.25,9.25,4,10.18,10.18,3,9.85,9.85,2,9.27,9.27,5,10.23,10.23
1,12.37,21.62,4,12.00,22.18,2,12.03,21.88,5,13.13,22.40,3,11.86,22.09
1,11.92,33.54,4,11.76,33.94,2,11.74,33.62,5,11.64,34.04,3,11.79,33.88
1,11.33,44.87,4,11.45,45.39,2,11.57,45.19,5,11.67,45.71,3,11.42,45.30
1,10.87,55.74,2,10.45,55.84,3,10.80,55.99,5,11.13,56.84,4,10.77,56.07
3,10.46,1:06.20,2,10.29,1:06.13,4,10.37,1:06.36,5,10.79,1:07.63,1,9.96,1:06.03
3,9.80,1:16.00,1,9.70,1:15.83,4,9.83,1:16.19,5,11.12,1:18.75,2,9.93,1:15.96
3,9.92,1:25.92,1,9.97,1:25.80,4,9.78,1:25.97,5,11.77,1:30.52,2,9.96,1:25.92
3,9.57,1:35.49,1,9.65,1:35.45,4,9.61,1:35.58,5,12.55,1:43.07,2,9.55,1:35.47
2,9.37,1:44.86,1,9.37,1:44.82,3,9.50,1:45.08,5,13.33,1:56.40,4,9.66,1:45.13
1,9.42,1:54.28,2,9.47,1:54.29,4,9.34,1:54.42,5,13.17,2:09.57,3,9.23,1:54.36
3,9.28,2:03.56,2,9.27,2:03.56,4,9.42,2:03.84,5,12.92,2:22.49,1,9.07,2:03.43
1,9.15,2:12.71,3,9.25,2:12.81,4,9.75,2:13.59,5,12.81,2:35.30,2,9.37,2:12.80
2,9.52,2:22.223,1,9.29,2:22.097,4,10.29,2:23.877,5,13.43,2:48.729,3,9.55,2:22.344
