LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
3,13.05,13.05,2,12.65,12.65,1,12.59,12.59
3,9.67,22.72,2,9.88,22.53,1,9.93,22.52
3,9.81,32.53,1,9.78,32.31,2,9.85,32.37
3,9.72,42.25,2,9.85,42.16,1,9.78,42.15
2,9.22,51.47,1,9.30,51.46,3,9.52,51.67
1,9.55,1:01.02,2,9.58,1:01.04,3,9.69,1:01.36
1,9.35,1:10.37,2,9.46,1:10.50,3,9.73,1:11.09
1,9.15,1:19.52,2,9.27,1:19.77,3,9.93,1:21.02
1,9.69,1:29.205,2,9.59,1:29.353,3,10.46,1:31.474
