SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME
2,6.86,6.86,1,6.73,6.73,3,6.97,6.97,4,7.09,7.09,5,7.29,7.29
2,8.78,15.64,1,8.81,15.54,3,8.75,15.72,4,8.75,15.84,5,8.70,15.99
2,8.34,23.98,1,8.35,23.89,3,8.31,24.03,4,8.34,24.18,5,8.28,24.27
3,8.50,32.48,1,8.34,32.23,2,8.40,32.43,5,8.56,32.74,4,8.40,32.67
5,10.43,42.91,1,8.42,40.65,2,8.62,41.05,4,8.61,41.35,3,8.54,41.21
