Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
6,13.103,13.103,2,9.783,9.783,3,9.932,9.932,5,10.767,10.767,1,9.757,9.757,4,10.178,10.178
2,10.007,23.109,1,13.094,22.876,5,13.540,23.471,6,12.966,23.732,3,13.576,23.332,4,13.216,23.394
2,12.402,35.511,1,12.561,35.437,3,12.264,35.735,6,12.575,36.307,5,12.475,35.807,4,12.356,35.750
2,12.531,48.042,4,12.754,48.190,6,12.830,48.565,5,12.185,48.491,3,12.301,48.107,1,12.276,48.025
5,10.852,58.893,4,10.556,58.745,3,10.016,58.580,6,10.440,58.931,1,10.217,58.324,2,10.468,58.493
6,9.585,1:08.478,3,9.502,1:08.247,4,9.758,1:08.337,1,9.067,1:07.997,2,9.757,1:08.081,5,9.891,1:08.384
5,9.904,1:18.381,3,9.833,1:18.079,6,10.420,1:18.757,2,9.983,1:17.980,1,9.883,1:17.963,4,9.980,1:18.363
6,10.197,1:28.577,3,10.054,1:28.133,1,9.049,1:27.805,4,10.171,1:28.150,2,10.083,1:28.046,5,9.908,1:28.271
5,9.492,1:38.069,4,9.868,1:38.000,6,10.326,1:38.131,2,9.768,1:37.918,1,9.293,1:37.338,3,9.649,1:37.919
2,8.986,1:47.054,4,9.203,1:47.203,5,9.096,1:47.226,6,9.464,1:47.381,1,9.524,1:46.861,3,9.240,1:47.159
5,9.104,1:56.158,4,8.880,1:56.082,6,9.014,1:56.240,2,8.540,1:55.921,1,8.928,1:55.789,3,8.921,1:56.079
2,8.803,2:04.961,4,9.011,2:05.093,6,9.219,2:05.459,3,9.058,2:04.979,1,9.045,2:04.833,5,9.201,2:05.279
5,9.481,2:14.441,2,8.920,2:14.013,6,9.029,2:14.487,3,9.094,2:14.072,1,9.173,2:14.005,4,8.898,2:14.177
4,8.85,2:23.289,3,8.95,2:22.955,6,9.08,2:23.565,1,8.71,2:22.774,2,8.92,2:22.920,5,9.21,2:23.379
