Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME
1,7.38,7.38,3,7.72,7.72,2,7.56,7.56,4,7.90,7.90
1,9.51,16.89,3,9.44,17.16,2,9.40,16.96,4,9.55,17.45
2,9.15,26.04,3,8.91,26.07,1,8.97,25.93,4,9.14,26.59
3,9.17,35.21,2,9.04,35.11,1,9.10,35.03,4,9.37,35.96
3,9.38,44.59,2,9.34,44.45,1,9.35,44.38,4,9.52,45.48
