WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Muhammed Emir HAN POSITION,Muhammed Emir HAN LAP TIME,Muhammed Emir HAN ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,YATES Westley POSITION,YATES Westley LAP TIME,YATES Westley ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME
1,13.40,13.40,5,13.57,,3,13.45,13.45,4,13.53,13.53,2,13.44,13.44,7,13.78,13.78,6,13.68,13.68
2,10.00,23.40,5,10.13,,3,9.98,23.43,1,9.65,23.18,4,10.14,23.58,7,10.10,23.88,5,10.02,23.70
2,9.89,33.29,6,9.92,,3,9.94,33.37,1,10.00,33.18,4,9.89,33.47,7,9.82,33.70,5,9.84,33.54
4,9.99,43.28,5,9.75,,1,9.78,43.15,2,9.99,43.17,6,9.91,43.38,7,9.93,43.63,3,9.71,43.25
4,9.36,52.64,3,9.23,,2,9.39,52.54,5,9.58,52.75,6,9.46,52.84,7,9.64,53.27,1,9.23,52.48
3,9.33,1:01.97,7,19.85,,2,9.13,1:01.67,4,9.27,1:02.02,5,9.21,1:02.05,6,10.07,1:03.34,1,9.09,1:01.57
3,9.09,1:11.06,7,23.73,,1,9.07,1:10.74,4,9.36,1:11.38,5,9.61,1:11.66,6,10.70,1:14.04,2,9.25,1:10.82
3,8.92,1:19.98,7,14.40,,2,9.22,1:19.96,4,9.44,1:20.82,5,9.29,1:20.95,6,11.07,1:25.11,1,8.97,1:19.79
2,9.05,1:29.036,7,11.89,,3,9.29,1:29.250,4,9.70,1:30.524,4,9.57,1:30.524,6,11.33,1:36.441,1,8.88,1:28.675
