Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
2,13.450,13.450,3,13.780,13.780,5,13.980,13.980,1,13.430,13.430,4,13.970,13.970
1,9.860,23.320,2,9.650,23.440,5,10.270,24.260,4,10.200,23.630,3,9.620,23.600
1,9.690,33.020,4,9.810,33.250,5,9.350,33.620,3,9.520,33.160,2,9.520,33.120
1,9.450,42.470,2,9.420,42.670,5,9.680,43.300,4,9.780,42.940,3,9.780,42.910
1,9.400,51.870,2,9.330,52.000,5,9.370,52.680,4,9.420,52.360,3,9.420,52.330
1,9.400,1:01.280,3,9.650,1:01.660,5,9.420,1:02.100,4,9.310,1:01.670,2,9.280,1:01.620
2,9.640,1:10.920,1,9.190,1:10.850,5,10.100,1:12.210,3,9.430,1:11.110,4,9.800,1:11.430
2,9.520,1:20.440,1,9.110,1:19.970,5,9.840,1:22.050,3,9.350,1:20.470,4,9.810,1:21.240
3,9.860,1:30.310,1,9.880,1:29.860,5,9.710,1:31.760,2,9.630,1:30.100,4,10.090,1:31.340
