Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Sara BLEKIC POSITION,Sara BLEKIC LAP TIME,Sara BLEKIC ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Ainara EQUISOAIN POSITION,Ainara EQUISOAIN LAP TIME,Ainara EQUISOAIN ELAPSED TIME
2,9.42,9.42,6,9.72,9.72,3,9.54,9.54,4,9.59,9.59,1,9.33,9.33,5,9.59,9.59
2,13.34,22.76,6,18.95,28.67,3,13.32,22.86,4,13.38,22.97,1,13.28,22.61,5,13.49,23.08
2,13.32,36.08,6,11.08,39.75,3,13.35,36.21,4,13.37,36.34,1,13.38,35.99,5,13.36,36.44
2,13.13,49.21,6,11.10,50.85,3,13.11,49.32,4,13.09,49.43,1,13.04,49.03,5,13.10,49.54
2,11.63,1:00.84,6,10.87,1:01.72,3,11.64,1:00.96,4,11.64,1:01.07,1,11.69,1:00.72,5,11.63,1:01.17
1,11.27,1:12.11,6,11.10,1:12.82,3,11.33,1:12.29,4,11.35,1:12.42,2,11.48,1:12.20,5,11.35,1:12.52
1,11.61,1:23.72,6,11.51,1:24.33,4,11.65,1:23.94,3,11.51,1:23.93,2,11.65,1:23.85,5,11.52,1:24.04
2,10.92,1:34.64,6,11.74,1:36.07,4,10.96,1:34.90,3,10.95,1:34.88,1,10.66,1:34.51,5,11.24,1:35.28
2,10.31,1:44.95,6,11.92,1:47.99,3,10.20,1:45.10,4,10.36,1:45.24,1,10.43,1:44.94,5,10.73,1:46.01
1,10.02,1:54.97,6,12.31,2:00.30,3,9.97,1:55.07,4,10.41,1:55.65,2,10.12,1:55.06,5,10.88,1:56.89
1,9.91,2:04.88,6,12.40,2:12.70,3,10.06,2:05.13,4,10.69,2:06.34,2,9.94,2:05.00,5,11.02,2:07.91
1,9.86,2:14.74,6,13.51,2:26.21,3,9.81,2:14.94,4,11.00,2:17.34,2,9.84,2:14.84,5,11.44,2:19.35
1,9.93,2:24.67,6,12.56,2:38.77,3,9.97,2:24.91,4,11.35,2:28.69,2,9.94,2:24.78,5,11.88,2:31.23
1,10.08,2:34.744,6,12.79,2:51.557,3,9.99,2:34.897,4,11.48,2:40.162,2,10.04,2:34.818,5,12.10,2:43.329
