VAINER Evgeni POSITION,VAINER Evgeni LAP TIME,VAINER Evgeni ELAPSED TIME,MO Ming-Jui POSITION,MO Ming-Jui LAP TIME,MO Ming-Jui ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.876,6.876,2,6.982,6.982,4,7.119,7.119,3,7.008,7.008
1,9.452,16.328,4,9.821,16.803,2,9.413,16.531,3,9.792,16.800
1,9.144,25.472,4,9.173,25.976,3,9.173,25.703,2,8.839,25.639
2,9.554,35.026,4,9.283,35.258,3,9.334,35.037,1,8.759,34.398
3,10.06,45.086,4,9.96,45.211,2,9.59,44.621,1,9.97,44.359
