Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME
2,13.83,13.83,1,13.69,13.69,3,13.91,13.91,5,14.16,14.16,4,14.04,14.04
3,10.21,24.04,1,10.28,23.97,2,10.09,24.00,5,10.13,24.29,4,10.08,24.12
3,9.80,33.84,2,9.84,33.81,1,9.73,33.73,5,9.80,34.09,4,9.77,33.89
5,10.56,44.40,2,10.26,44.07,1,10.25,43.98,4,10.22,44.31,3,10.28,44.17
4,10.14,54.54,3,10.26,54.33,2,10.26,54.24,5,10.44,54.75,1,9.89,54.06
4,10.17,1:04.71,3,9.70,1:04.03,2,9.70,1:03.94,5,10.36,1:05.11,1,9.69,1:03.75
4,10.54,1:15.25,3,9.72,1:13.75,2,9.70,1:13.64,5,10.72,1:15.83,1,9.78,1:13.53
4,10.96,1:26.21,3,9.84,1:23.59,2,9.85,1:23.49,5,11.14,1:26.97,1,9.80,1:23.33
3,11.25,1:37.458,2,9.89,1:33.479,1,9.89,1:33.380,4,11.45,1:38.419,0,,PEN
