GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME
4,15.04,15.04,2,14.79,14.79,5,15.14,15.14,3,14.90,14.90,1,14.71,14.71
4,11.41,26.45,1,11.39,26.18,5,11.35,26.49,3,11.35,26.25,2,11.53,26.24
2,9.79,36.24,4,10.17,36.35,5,9.94,36.43,1,9.87,36.12,3,10.08,36.32
1,9.24,45.48,5,9.58,45.93,4,9.37,45.80,2,9.46,45.58,3,9.38,45.70
2,9.30,54.78,4,9.07,55.00,5,9.31,55.11,1,9.08,54.66,3,9.20,54.90
2,8.93,1:03.71,3,8.79,1:03.79,5,8.85,1:03.96,1,8.94,1:03.60,4,8.99,1:03.89
2,8.86,1:12.57,3,8.86,1:12.65,5,8.89,1:12.85,1,8.85,1:12.45,4,8.83,1:12.72
5,9.19,1:21.76,2,9.05,1:21.70,3,8.89,1:21.74,1,9.22,1:21.67,4,9.03,1:21.75
5,9.77,1:31.532,1,8.58,1:30.284,3,9.13,1:30.873,2,9.15,1:30.829,4,9.30,1:31.051
