Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Vincent Wei Zhen CHAN POSITION,Vincent Wei Zhen CHAN LAP TIME,Vincent Wei Zhen CHAN ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
1,7.04,7.04,2,7.12,7.12,4,7.41,7.41,5,8.16,8.16,3,7.40,7.40
1,9.03,16.07,2,9.06,16.18,4,9.25,16.66,5,11.32,19.48,3,9.11,16.51
2,8.59,24.66,1,8.45,24.63,4,8.58,25.24,5,12.16,31.64,3,8.49,25.00
2,8.72,33.38,1,8.60,33.23,4,8.81,34.05,5,12.58,44.22,3,8.53,33.53
3,8.94,42.311,1,8.85,42.074,4,9.40,43.449,5,11.79,56.005,2,8.69,42.217
