SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME,Georgi TSVETKOV POSITION,Georgi TSVETKOV LAP TIME,Georgi TSVETKOV ELAPSED TIME,Piius Yie Kiat SNG POSITION,Piius Yie Kiat SNG LAP TIME,Piius Yie Kiat SNG ELAPSED TIME
4,9.27,9.27,1,8.92,8.92,5,9.46,,3,9.09,9.09,2,8.98,8.98,6,9.52,9.52,7,9.58,9.58
4,12.00,21.27,3,12.23,21.15,5,11.93,,2,12.01,21.10,1,12.06,21.04,7,12.17,21.69,6,11.91,21.49
4,10.57,31.84,3,10.52,31.67,5,10.66,,1,10.33,31.43,2,10.53,31.57,7,10.93,32.62,6,10.75,32.24
4,10.17,42.01,3,10.23,41.90,5,10.06,,1,10.22,41.65,2,10.20,41.77,7,10.74,43.36,6,10.88,43.12
4,10.10,52.11,3,10.14,52.04,5,10.14,,1,10.12,51.77,2,10.12,51.89,7,10.89,54.25,6,10.46,53.58
2,9.29,1:01.40,4,9.52,1:01.56,5,9.53,,1,9.60,1:01.37,3,9.66,1:01.55,7,11.04,1:05.29,6,10.45,1:04.03
2,9.30,1:10.70,4,9.34,1:10.90,5,9.16,,1,9.21,1:10.58,3,9.24,1:10.79,7,11.23,1:16.52,6,10.86,1:14.89
2,9.25,1:19.95,4,9.18,1:20.08,5,9.25,,3,9.40,1:19.98,1,9.11,1:19.90,7,11.44,1:27.96,6,11.36,1:26.25
3,9.25,1:29.20,4,9.26,1:29.34,5,9.20,,1,8.93,1:28.91,2,9.21,1:29.11,7,11.60,1:39.56,6,11.80,1:38.05
3,9.33,1:38.53,2,9.11,1:38.45,5,9.40,,1,9.24,1:38.15,4,9.54,1:38.65,7,11.58,1:51.14,6,11.78,1:49.83
3,9.50,1:48.03,2,9.48,1:47.93,4,9.33,,1,9.34,1:47.49,5,9.62,1:48.27,7,12.05,2:03.19,6,11.34,2:01.17
4,9.63,1:57.66,3,9.63,1:57.56,2,9.34,,1,9.37,1:56.86,5,9.71,1:57.98,7,12.38,2:15.57,6,11.70,2:12.87
3,9.63,2:07.29,3,9.73,2:07.29,2,9.57,,1,9.43,2:06.29,5,9.89,2:07.87,7,12.70,2:28.27,6,12.12,2:24.99
3,10.09,2:17.38,4,10.71,2:18.00,2,10.02,,1,9.82,2:16.11,5,10.33,2:18.20,7,12.44,2:40.71,6,11.91,2:36.90
