Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,7.05,7.05,5,7.51,7.51,3,7.39,7.39,4,7.47,7.47,2,7.14,7.14
2,9.37,16.42,5,9.51,17.02,4,9.39,16.78,3,9.30,16.77,1,8.95,16.09
2,9.04,25.46,5,8.89,25.91,4,8.98,25.76,3,8.95,25.72,1,8.68,24.77
2,9.23,34.69,5,9.06,34.97,4,9.20,34.96,3,8.97,34.69,1,8.83,33.60
5,10.16,44.846,4,9.66,44.626,3,9.51,44.466,2,9.38,44.068,1,9.04,42.631
