MOON Won Jun POSITION,MOON Won Jun LAP TIME,MOON Won Jun ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME
3,13.51,13.51,2,13.42,13.42,4,13.64,13.64,1,13.28,13.28,5,13.79,13.79
2,10.08,23.59,1,10.06,23.48,4,10.06,23.70,3,10.41,23.69,5,10.02,23.81
2,9.83,33.42,1,9.75,33.23,4,9.89,33.59,3,9.80,33.49,5,9.92,33.73
3,9.78,43.20,1,9.86,43.09,4,9.77,43.36,2,9.70,43.19,5,9.77,43.50
3,9.62,52.82,1,9.56,52.65,4,9.56,52.92,2,9.53,52.72,5,9.54,53.04
3,9.28,1:02.10,2,9.38,1:02.03,4,9.32,1:02.24,1,9.26,1:01.98,5,9.40,1:02.44
3,9.26,1:11.36,2,9.25,1:11.28,4,9.20,1:11.44,1,9.15,1:11.13,5,9.11,1:11.55
3,9.06,1:20.42,2,9.06,1:20.34,4,9.06,1:20.50,1,9.07,1:20.20,5,9.06,1:20.61
3,8.82,1:29.229,2,8.82,1:29.16,4,9.02,1:29.505,1,8.76,1:28.96,5,9.10,1:29.695
