Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
5,14.28,14.28,2,13.93,13.93,3,14.06,14.06,4,14.18,14.18,1,13.85,13.85
5,10.48,24.76,2,10.59,24.52,4,10.56,24.62,3,10.41,24.59,1,10.57,24.42
5,10.37,35.13,1,10.24,34.76,4,10.29,34.91,3,10.31,34.90,2,10.40,34.82
4,9.54,44.67,1,9.61,44.37,3,9.66,44.57,2,9.53,44.43,5,20.22,55.04
4,9.20,53.87,1,9.18,53.55,3,9.11,53.68,2,9.21,53.64,5,17.91,1:12.95
4,9.08,1:02.95,1,8.89,1:02.44,3,9.07,1:02.75,2,8.94,1:02.58,5,10.89,1:23.84
4,9.07,1:12.02,1,8.85,1:11.29,3,8.80,1:11.55,2,8.88,1:11.46,5,9.86,1:33.70
4,9.46,1:21.48,1,8.81,1:20.10,3,9.03,1:20.58,2,9.05,1:20.51,5,10.06,1:43.76
4,10.25,1:31.722,1,9.15,1:29.249,2,9.05,1:29.621,3,9.35,1:29.854,0,,notime
