Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
2,12.88,12.88,1,12.71,12.71,3,13.04,13.04,4,13.25,13.25
2,10.23,23.11,1,10.21,22.92,3,10.08,23.12,4,10.16,23.41
1,9.94,33.05,2,10.30,33.22,3,10.12,33.24,4,10.23,33.64
1,10.55,43.60,2,10.39,43.61,3,10.47,43.71,4,10.41,44.05
1,10.46,54.06,3,10.47,54.08,2,10.36,54.07,4,10.46,54.51
3,10.05,1:04.11,1,9.92,1:04.00,2,9.96,1:04.03,4,9.79,1:04.30
4,9.89,1:14.00,3,9.96,1:13.96,2,9.72,1:13.75,1,9.34,1:13.64
4,9.99,1:23.99,3,9.91,1:23.87,2,9.48,1:23.23,1,9.47,1:23.11
3,10.11,1:34.092,4,10.32,1:34.184,2,9.71,1:32.936,1,9.72,1:32.824
