CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Laura van VELZEN POSITION,Laura van VELZEN LAP TIME,Laura van VELZEN ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
3,10.051,10.051,5,10.068,10.068,6,10.241,10.241,2,9.793,9.793,4,10.059,10.059,1,9.722,9.722
5,12.743,22.793,1,11.941,22.009,6,12.701,22.941,3,12.623,22.415,4,12.625,22.684,2,12.453,22.174
5,11.404,34.196,1,11.745,33.753,6,11.372,34.312,3,11.690,34.105,4,11.503,34.186,2,11.678,33.852
6,12.053,46.249,1,11.977,45.730,4,11.861,46.173,3,12.041,46.146,5,12.013,46.198,2,12.060,45.912
6,11.241,57.490,3,11.393,57.122,1,10.771,56.944,4,11.083,57.228,5,11.155,57.352,2,11.082,56.993
6,10.905,1:08.395,4,10.939,1:08.061,1,10.885,1:07.829,5,10.966,1:08.194,3,10.545,1:07.897,2,10.849,1:07.842
6,9.955,1:18.349,5,10.276,1:18.337,3,10.245,1:18.073,4,10.025,1:18.219,1,10.085,1:17.981,2,10.227,1:18.069
5,10.307,1:28.656,6,10.485,1:28.822,3,10.294,1:28.367,4,10.372,1:28.590,1,10.338,1:28.318,2,10.278,1:28.347
5,10.346,1:39.001,6,10.361,1:39.182,4,10.537,1:38.903,2,10.201,1:38.791,3,10.578,1:38.896,1,10.436,1:38.783
2,9.966,1:48.967,6,10.304,1:49.486,3,10.117,1:49.020,1,9.773,1:48.563,4,10.254,1:49.150,5,10.541,1:49.324
2,9.474,1:58.441,6,10.638,2:00.124,3,9.580,1:58.599,1,9.716,1:58.278,4,9.901,1:59.051,5,10.198,1:59.521
1,9.597,2:08.038,6,10.944,2:11.067,3,9.624,2:08.223,2,9.879,2:08.157,4,10.321,2:09.371,5,10.578,2:10.098
1,9.762,2:17.799,6,11.459,2:22.525,3,9.887,2:18.109,2,9.798,2:17.954,4,10.567,2:19.938,5,11.142,2:21.240
1,10.16,2:27.951,6,11.75,2:34.268,3,10.07,2:28.175,2,10.13,2:28.082,4,11.52,2:31.450,5,11.82,2:33.053
