Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
3,7.34,7.34,1,7.16,7.16,4,7.34,7.34,2,7.32,7.32
2,9.59,16.93,1,9.59,16.75,3,9.93,17.27,4,32.53,39.85
2,8.83,25.76,1,8.92,25.67,3,8.50,25.77,4,14.36,54.21
3,8.97,34.73,1,8.74,34.41,2,8.75,34.52,4,10.92,1:05.13
3,9.21,43.937,1,8.93,43.335,2,8.83,43.347,4,11.46,1:16.582
