HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
1,12.63,12.63,2,12.76,12.76,3,12.87,12.87,5,13.15,13.15,4,12.97,12.97
1,9.75,22.38,3,9.84,22.60,2,9.64,22.51,5,9.70,22.85,4,9.77,22.74
1,9.51,31.89,3,9.51,32.11,2,9.52,32.03,5,9.46,32.31,4,9.45,32.19
2,9.32,41.21,3,9.18,41.29,1,9.11,41.14,5,9.16,41.47,4,9.17,41.36
3,9.31,50.52,2,9.15,50.44,1,9.29,50.43,5,9.32,50.79,4,9.26,50.62
3,8.90,59.42,1,8.82,59.26,2,8.92,59.35,5,8.86,59.65,4,8.88,59.50
4,9.11,1:08.53,1,8.94,1:08.20,2,8.99,1:08.34,5,8.93,1:08.58,3,8.92,1:08.42
5,9.12,1:17.65,1,8.80,1:17.00,2,8.79,1:17.13,4,8.89,1:17.47,3,8.97,1:17.39
5,9.28,1:26.920,1,8.90,1:25.90,2,8.91,1:26.04,4,9.13,1:26.60,3,9.10,1:26.49
