ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME,HSU Chiao-Ren POSITION,HSU Chiao-Ren LAP TIME,HSU Chiao-Ren ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME
4,9.143,9.143,1,8.638,8.638,2,8.650,8.650,3,8.698,8.698,5,9.145,9.145
4,11.513,20.656,2,11.798,20.436,3,11.958,20.608,1,11.549,20.247,5,11.864,21.008
3,12.091,32.746,2,11.788,32.224,4,12.189,32.797,1,11.540,31.786,5,11.917,32.924
4,12.102,44.847,2,12.093,44.316,3,12.017,44.814,1,11.722,43.508,5,12.069,44.993
5,12.272,57.119,2,12.234,56.549,3,11.970,56.783,1,11.993,55.500,4,12.050,57.043
3,11.692,1:08.810,2,11.920,1:08.469,4,12.310,1:09.093,1,12.067,1:07.567,5,12.250,1:09.293
3,11.822,1:20.632,2,12.147,1:20.615,5,11.751,1:20.844,1,12.109,1:19.675,4,11.500,1:20.792
5,11.815,1:32.447,3,11.541,1:32.156,4,11.512,1:32.355,2,12.424,1:32.099,1,11.155,1:31.947
3,10.561,1:43.008,2,10.753,1:42.908,4,10.672,1:43.026,5,12.429,1:44.527,1,10.667,1:42.614
3,10.597,1:53.604,1,10.495,1:53.402,4,10.614,1:53.640,5,12.243,1:56.770,2,10.882,1:53.496
1,10.290,2:03.893,2,10.537,2:03.939,4,10.845,2:04.484,5,12.530,2:09.299,3,10.501,2:03.996
3,10.234,2:14.127,1,9.952,2:13.890,4,10.542,2:15.025,5,12.678,2:21.977,2,10.082,2:14.078
2,10.418,2:24.545,1,10.393,2:24.283,4,10.359,2:25.384,5,13.093,2:35.070,3,10.492,2:24.569
1,10.56,2:35.098,3,11.63,2:35.908,4,10.61,2:35.987,5,12.62,2:47.689,2,10.59,2:35.151
