UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
2,7.16,7.16,1,6.92,6.92,4,7.34,7.34,3,7.16,7.16
3,9.64,16.80,1,9.40,16.32,4,9.99,17.33,2,9.43,16.59
3,9.14,25.94,1,9.03,25.35,4,9.83,27.16,2,9.01,25.60
3,9.70,35.64,1,9.13,34.48,4,10.05,37.21,2,9.14,34.74
3,10.63,46.261,1,9.34,43.815,4,10.34,47.546,2,9.49,44.230
