LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
4,7.89,7.89,6,8.34,8.34,3,7.82,7.82,2,7.81,7.81,5,8.12,8.12,1,7.78,7.78
4,11.05,18.94,6,10.90,19.24,3,11.04,18.86,2,10.90,18.71,5,10.94,19.06,1,10.83,18.61
3,10.31,29.25,6,10.50,29.74,4,10.51,29.37,1,10.52,29.23,5,10.54,29.60,2,10.63,29.24
2,9.90,39.15,6,9.83,39.57,4,9.98,39.35,3,9.98,39.21,5,9.87,39.47,1,9.86,39.10
2,10.33,49.48,6,10.28,49.85,4,10.34,49.69,3,10.37,49.58,5,10.31,49.78,1,10.23,49.33
2,10.33,59.81,6,10.40,1:00.25,4,10.34,1:00.03,3,10.34,59.92,5,10.34,1:00.12,1,10.34,59.67
2,10.14,1:09.95,6,10.13,1:10.38,4,10.13,1:10.16,3,10.12,1:10.04,5,10.16,1:10.28,1,10.15,1:09.82
1,9.41,1:19.36,6,9.61,1:19.99,4,9.45,1:19.61,2,9.37,1:19.41,5,9.60,1:19.88,3,9.61,1:19.43
6,12.40,1:31.76,3,9.15,1:29.14,4,9.74,1:29.35,1,9.54,1:28.95,2,9.18,1:29.06,5,10.01,1:29.44
6,14.49,1:46.25,3,9.58,1:38.72,4,9.50,1:38.85,1,9.58,1:38.53,2,9.55,1:38.61,5,9.49,1:38.93
6,15.21,2:01.46,3,9.57,1:48.29,4,9.54,1:48.39,1,9.53,1:48.06,2,9.60,1:48.21,5,9.55,1:48.48
6,15.90,2:17.36,3,9.31,1:57.60,4,9.48,1:57.87,1,9.36,1:57.42,2,9.29,1:57.50,5,9.44,1:57.92
6,14.01,2:31.37,3,9.15,2:06.75,5,9.70,2:07.57,1,9.12,2:06.54,2,9.16,2:06.66,4,9.43,2:07.35
5,12.58,2:43.945,1,9.05,2:15.797,4,9.90,2:17.467,0,,PEN,2,9.24,2:15.892,3,9.76,2:17.105
