Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME
1,7.29,7.29,2,7.46,7.46,3,7.60,7.60,4,7.72,7.72
1,9.32,16.61,2,9.44,16.90,2,9.30,16.90,4,9.37,17.09
1,8.89,25.50,3,8.98,25.88,2,8.74,25.64,4,8.86,25.95
1,9.04,34.54,3,9.23,35.11,1,8.90,34.54,4,9.46,35.41
2,9.22,43.76,3,9.78,44.89,1,9.02,43.56,4,9.60,45.01
