Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME
2,12.82,12.82,1,12.71,12.71,3,12.95,12.95
2,9.56,22.38,1,9.54,22.25,3,9.53,22.48
2,9.47,31.85,1,9.45,31.70,3,9.47,31.95
2,9.53,41.38,1,9.59,41.29,3,9.52,41.47
2,9.78,51.16,1,9.76,51.05,3,9.78,51.25
1,9.71,1:00.87,3,10.07,1:01.12,2,9.85,1:01.10
1,9.44,1:10.31,3,10.05,1:11.17,2,9.35,1:10.45
1,9.34,1:19.65,3,10.53,1:21.70,2,9.29,1:19.74
1,9.59,1:29.232,3,10.86,1:32.560,2,9.53,1:29.267
