Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,7.06,7.06,4,7.42,7.42,1,6.86,6.86,2,7.02,7.02
3,9.13,16.19,4,8.88,16.30,1,8.95,15.81,2,9.11,16.13
3,8.50,24.69,4,8.54,24.84,1,8.53,24.34,2,8.43,24.56
3,8.54,33.23,4,8.50,33.34,2,8.78,33.12,1,8.54,33.10
2,8.98,42.208,4,25.60,58.936,3,16.20,49.312,1,8.92,42.017
