SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,12.62,12.62,2,12.69,,4,12.97,12.97,3,12.80,12.80
2,9.20,21.82,1,8.98,,4,9.03,22.00,3,9.13,21.93
2,8.98,30.80,1,9.02,,4,8.99,30.99,3,8.97,30.90
2,9.08,39.88,1,9.10,,4,9.05,40.04,3,9.08,39.98
1,8.82,48.70,2,9.00,,4,8.92,48.96,3,8.90,48.88
4,9.26,57.96,1,8.90,,2,8.76,57.72,3,8.95,57.83
4,9.07,1:07.03,1,8.94,,2,9.01,1:06.73,3,9.04,1:06.87
4,8.89,1:15.92,1,8.91,,2,8.88,1:15.61,3,9.04,1:15.91
3,8.81,1:24.73,1,9.04,,2,9.02,1:24.63,4,9.45,1:25.36
