Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME
4,10.361,10.361,5,10.542,10.542,2,10.129,10.129,1,10.095,10.095,3,10.350,10.350,6,10.674,10.674
1,12.981,23.342,5,13.461,24.003,4,13.676,23.804,2,13.284,23.378,3,13.279,23.629,6,13.420,24.093
1,11.778,35.120,5,11.658,35.660,4,11.690,35.495,2,11.755,35.133,3,11.784,35.413,6,11.626,35.719
1,11.445,46.565,5,11.229,46.889,4,11.391,46.886,2,11.548,46.681,3,11.413,46.826,6,11.311,47.030
1,10.402,56.967,3,10.321,57.210,5,10.574,57.459,2,10.343,57.024,4,10.623,57.449,6,10.506,57.535
1,10.347,1:07.314,3,10.358,1:07.568,5,10.223,1:07.683,2,10.336,1:07.360,4,10.124,1:07.573,6,10.185,1:07.720
1,10.614,1:17.928,3,10.590,1:18.159,5,10.646,1:18.329,2,10.660,1:18.021,4,10.639,1:18.212,6,10.616,1:18.337
1,10.531,1:28.459,3,10.502,1:28.661,5,10.597,1:28.925,2,10.576,1:28.597,4,10.596,1:28.808,6,10.609,1:28.945
1,10.389,1:38.848,4,10.314,1:38.974,5,10.160,1:39.085,2,10.265,1:38.862,3,10.161,1:38.969,6,10.272,1:39.218
3,10.114,1:48.962,4,10.366,1:49.340,6,10.356,1:49.441,1,9.801,1:48.663,2,9.870,1:48.839,5,10.134,1:49.352
2,10.011,1:58.973,5,10.276,1:59.616,6,10.236,1:59.677,1,10.064,1:58.727,3,10.135,1:58.974,4,9.837,1:59.189
3,10.384,2:09.357,5,10.446,2:10.062,6,10.470,2:10.147,1,10.408,2:09.135,2,10.312,2:09.287,4,10.185,2:09.374
3,10.414,2:19.771,5,10.742,2:20.804,6,10.729,2:20.876,1,10.471,2:19.607,2,10.475,2:19.761,4,10.551,2:19.924
3,10.637,2:30.408,5,11.145,2:31.950,6,11.134,2:32.010,1,10.685,2:30.292,2,10.643,2:30.404,4,10.600,2:30.524
