Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
1,14.16,14.16,2,14.28,14.28,3,14.38,14.38
1,11.13,25.29,2,11.13,25.41,3,11.14,25.52
1,11.01,36.30,2,10.98,36.39,3,11.00,36.52
1,10.91,47.21,2,10.91,47.30,3,10.89,47.41
2,10.89,58.10,1,10.78,58.08,3,10.80,58.21
3,10.35,1:08.45,1,9.82,1:07.90,2,10.05,1:08.26
3,9.90,1:18.35,1,9.64,1:17.54,2,9.46,1:17.72
3,10.01,1:28.36,1,9.63,1:27.17,2,9.49,1:27.21
3,10.30,1:38.636,2,9.87,1:37.030,1,9.60,1:36.791
