MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,TIBORCZ Daniel POSITION,TIBORCZ Daniel LAP TIME,TIBORCZ Daniel ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME
3,14.02,14.02,2,13.91,13.91,4,14.05,14.05,1,13.81,13.81,5,14.22,14.22
1,10.18,24.20,4,10.45,24.36,1,10.15,24.20,3,10.46,24.27,5,10.32,24.54
1,9.65,33.85,2,9.93,34.29,2,10.09,34.29,4,10.08,34.35,5,10.00,34.54
1,9.62,43.47,3,9.48,43.77,2,9.40,43.69,4,9.60,43.95,5,9.55,44.09
1,9.62,53.09,3,9.58,53.35,2,9.60,53.29,4,9.50,53.45,5,9.48,53.57
1,9.65,1:02.74,3,9.64,1:02.99,2,9.60,1:02.89,4,9.77,1:03.22,5,9.67,1:03.24
3,9.42,1:12.16,2,9.15,1:12.14,1,9.19,1:12.08,4,9.30,1:12.52,5,9.73,1:12.97
3,9.70,1:21.86,1,8.85,1:20.99,2,9.11,1:21.19,4,9.42,1:21.94,5,9.55,1:22.52
3,9.64,1:31.50,1,9.02,1:30.01,2,8.92,1:30.11,4,9.75,1:31.69,5,9.78,1:32.30
