KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,13.11,13.11,3,13.27,13.27,2,13.23,13.23,4,13.34,13.34,5,13.42,13.42
1,9.97,23.08,5,10.24,23.51,2,9.97,23.20,3,9.95,23.29,4,9.99,23.41
1,9.86,32.94,5,9.79,33.30,2,9.82,33.02,3,9.77,33.06,4,9.81,33.22
1,9.56,42.50,5,9.66,42.96,2,9.58,42.60,3,9.62,42.68,4,9.59,42.81
1,9.56,52.06,5,9.54,52.50,2,9.55,52.15,3,9.58,52.26,4,9.55,52.36
1,9.56,1:01.62,5,9.54,1:02.04,2,9.59,1:01.74,3,9.54,1:01.80,4,9.53,1:01.89
2,9.73,1:11.35,3,9.59,1:11.63,5,10.73,1:12.47,4,9.91,1:11.71,1,9.46,1:11.35
1,9.74,1:21.09,3,9.68,1:21.31,5,12.77,1:25.24,4,9.61,1:21.32,2,9.85,1:21.20
1,9.87,1:30.956,3,9.96,1:31.262,0,,PEN,0,,PEN,2,9.95,1:31.143
