Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
1,9.07,9.07,3,9.16,9.16,4,9.32,9.32,5,9.48,9.48,6,9.62,9.62,2,9.14,9.14
3,12.52,21.59,2,12.42,21.58,4,12.45,21.77,5,12.46,21.94,6,12.44,22.06,1,12.37,21.51
2,11.78,33.37,3,11.85,33.43,4,11.87,33.64,5,11.81,33.75,6,11.87,33.93,1,11.80,33.31
1,11.26,44.63,3,11.37,44.80,4,11.26,44.90,5,11.25,45.00,6,11.19,45.12,2,11.39,44.70
2,11.35,55.98,4,11.30,56.10,5,11.37,56.27,6,11.42,56.42,3,10.92,56.04,1,11.28,55.98
5,10.26,1:06.24,3,10.06,1:06.16,4,9.89,1:06.16,6,10.03,1:06.45,1,9.92,1:05.96,2,10.10,1:06.08
6,10.09,1:16.33,5,10.00,1:16.16,2,9.74,1:15.90,1,9.44,1:15.89,4,10.10,1:16.06,3,9.93,1:16.01
6,9.39,1:25.72,4,9.36,1:25.52,2,9.44,1:25.34,1,9.38,1:25.27,5,9.64,1:25.70,3,9.41,1:25.42
5,9.74,1:35.46,3,9.72,1:35.24,4,10.04,1:35.38,1,9.73,1:35.00,6,10.16,1:35.86,2,9.67,1:35.09
5,9.65,1:45.11,3,9.51,1:44.75,4,9.48,1:44.86,1,9.51,1:44.51,6,9.71,1:45.57,2,9.50,1:44.59
5,9.60,1:54.71,3,9.20,1:53.95,4,9.11,1:53.97,1,9.08,1:53.59,6,9.85,1:55.42,2,9.11,1:53.70
5,9.78,2:04.49,4,9.32,2:03.27,3,8.98,2:02.95,1,9.06,2:02.65,6,10.23,2:05.65,2,9.04,2:02.74
5,10.24,2:14.73,4,9.64,2:12.91,3,9.06,2:12.01,1,9.21,2:11.86,6,10.56,2:16.21,2,9.20,2:11.94
5,10.57,2:25.297,4,10.14,2:23.050,3,9.48,2:21.490,1,9.41,2:21.270,6,10.78,2:26.988,2,9.35,2:21.288
