ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
2,9.53,9.53,1,9.44,9.44,4,9.82,9.82,5,9.96,,3,9.68,9.68,6,10.14,10.14
2,13.85,23.38,1,13.84,23.28,6,13.95,23.77,5,13.64,,3,13.78,23.46,4,13.38,23.52
4,11.56,34.94,3,11.60,34.88,6,11.44,35.21,5,11.45,,2,11.35,34.81,1,11.19,34.71
4,11.97,46.91,3,11.94,46.82,6,11.96,47.17,5,11.99,,1,11.81,46.62,2,11.93,46.64
5,11.30,58.21,3,11.18,58.00,6,11.16,58.33,4,11.08,,1,11.14,57.76,2,11.24,57.88
6,11.09,1:09.30,3,11.15,1:09.15,5,10.92,1:09.25,4,11.11,,1,11.20,1:08.96,2,11.18,1:09.06
5,10.73,1:20.03,4,10.73,1:19.88,1,10.31,1:19.56,5,10.80,,2,10.67,1:19.63,3,10.69,1:19.75
5,10.24,1:30.27,6,10.62,1:30.50,1,10.22,1:29.78,4,10.12,,2,10.25,1:29.88,3,10.16,1:29.91
5,9.88,1:40.15,6,9.84,1:40.34,2,9.69,1:39.47,4,9.99,,3,9.68,1:39.56,1,9.36,1:39.27
4,10.09,1:50.24,5,9.99,1:50.33,2,9.28,1:48.75,6,10.44,,3,9.36,1:48.92,1,9.27,1:48.54
5,10.46,2:00.70,4,9.89,2:00.22,2,9.43,1:58.18,6,10.49,,3,9.35,1:58.27,1,9.52,1:58.06
5,10.83,2:11.53,4,10.27,2:10.49,2,9.60,2:07.78,6,10.61,,3,9.73,2:08.00,1,9.56,2:07.62
5,11.18,2:22.71,4,10.86,2:21.35,2,9.67,2:17.45,6,11.12,,3,9.84,2:17.84,1,9.67,2:17.29
5,11.26,2:33.973,4,11.57,2:32.923,2,9.70,2:27.15,6,11.76,,3,10.08,2:27.929,1,9.68,2:26.97
