Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,KANG Jihee POSITION,KANG Jihee LAP TIME,KANG Jihee ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME
3,7.89,7.89,1,7.45,7.45,4,7.98,7.98,5,8.10,8.10,2,7.66,7.66
4,9.97,17.86,2,9.73,17.18,3,9.65,17.63,5,9.85,17.95,1,9.39,17.05
5,9.36,27.22,2,8.99,26.17,3,9.02,26.65,4,9.15,27.10,1,8.89,25.94
5,9.45,36.67,2,9.19,35.36,3,9.11,35.76,4,9.27,36.37,1,9.02,34.96
5,9.63,46.296,2,9.45,44.804,3,9.38,45.136,4,9.40,45.766,1,9.26,44.218
