Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Benoit DEVILLE DUC POSITION,Benoit DEVILLE DUC LAP TIME,Benoit DEVILLE DUC ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,6.806,6.806,1,6.646,6.646,3,6.829,6.829,4,7.169,7.169,5,7.403,7.403
2,8.965,15.770,1,9.097,15.743,3,9.127,15.956,4,9.120,16.288,5,15.174,22.577
2,8.963,24.733,1,8.814,24.557,3,8.988,24.944,4,8.860,25.148,5,23.651,46.228
3,8.963,33.695,2,9.011,33.567,1,8.551,33.494,4,9.204,34.352,5,14.040,1:00.267
2,9.40,43.088,1,9.40,42.964,3,9.94,43.425,4,9.67,44.016,5,14.23,1:14.495
