Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
1,6.620,6.620,3,8.109,8.109,2,7.045,7.045,4,8.112,8.112
1,9.231,15.850,2,7.848,15.957,3,9.284,16.328,4,9.223,17.335
2,8.964,24.814,1,8.534,24.490,3,9.166,25.494,4,8.808,26.143
2,9.334,34.147,1,9.347,33.836,3,9.416,34.909,4,9.137,35.279
2,9.50,43.646,1,9.67,43.499,4,9.72,44.624,3,9.33,44.608
