Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
1,7.03,7.03,3,7.19,7.19,4,7.38,7.38,2,7.04,7.04
1,9.32,16.36,4,9.65,16.84,2,9.14,16.52,3,9.75,16.80
1,8.88,25.24,2,8.42,25.27,3,8.88,25.41,4,8.65,25.45
2,9.00,34.24,1,8.89,34.17,4,9.11,34.52,3,8.83,34.28
2,9.64,43.874,3,10.02,44.190,4,14.70,49.213,1,9.52,43.795
