LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
3,15.54,15.54,2,15.44,15.44,4,17.31,17.31,1,15.29,15.29
4,12.26,27.80,2,11.93,27.38,3,10.10,27.41,1,11.94,27.23
4,10.11,37.92,3,10.23,37.62,2,9.80,37.21,1,9.72,36.95
3,8.96,46.88,4,9.30,46.92,1,9.44,46.66,2,9.89,46.85
2,9.15,56.03,3,9.19,56.11,1,9.13,55.79,4,9.34,56.19
1,8.95,1:04.99,3,8.90,1:05.02,2,9.21,1:05.00,4,9.07,1:05.27
2,9.01,1:14.00,3,8.99,1:14.01,1,8.77,1:13.78,4,8.98,1:14.26
1,8.97,1:22.98,4,10.25,1:24.26,2,9.31,1:23.09,3,8.84,1:23.10
1,9.12,1:32.097,0,,DQ,2,9.13,1:32.219,3,9.39,1:32.487
