Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,7.66,7.66,2,7.72,7.72,3,7.93,7.93,5,8.23,8.23,4,8.12,8.12,6,8.48,8.48
1,11.42,19.08,2,11.49,19.21,3,11.28,19.22,5,11.13,19.36,4,11.21,19.33,6,11.10,19.58
3,10.34,29.42,2,10.11,29.33,1,9.84,29.07,6,10.21,29.58,4,10.12,29.45,5,9.94,29.53
3,10.08,39.50,5,10.23,39.57,1,10.23,39.30,2,9.77,39.35,6,10.24,39.70,4,10.02,39.56
3,9.86,49.36,6,9.97,49.55,1,9.80,49.11,4,10.07,49.43,5,9.77,49.48,2,9.68,49.24
4,10.24,59.61,6,10.18,59.73,1,10.09,59.21,5,10.18,59.61,3,10.10,59.58,2,10.23,59.48
3,10.44,1:10.05,4,10.34,1:10.07,2,10.65,1:09.86,5,10.49,1:10.11,6,10.64,1:10.22,1,10.32,1:09.80
5,26.54,1:36.60,3,10.21,1:20.28,1,10.08,1:19.94,6,32.57,1:42.69,4,10.27,1:20.49,2,10.26,1:20.07
5,12.81,1:49.41,3,10.12,1:30.41,1,10.21,1:30.15,6,16.51,1:59.20,4,10.00,1:30.50,2,10.28,1:30.35
5,11.33,2:00.75,4,10.20,1:40.61,1,10.37,1:40.53,6,14.39,2:13.60,3,10.07,1:40.58,2,10.17,1:40.53
5,10.27,2:11.02,3,9.89,1:50.51,1,9.68,1:50.21,6,13.15,2:26.75,4,10.15,1:50.74,2,9.97,1:50.50
5,10.39,2:21.41,2,9.68,2:00.20,1,9.87,2:00.08,6,13.16,2:39.91,4,9.89,2:00.63,3,9.95,2:00.45
5,11.34,2:32.76,2,9.77,2:09.97,1,9.79,2:09.87,6,13.00,2:52.91,4,10.21,2:10.84,3,9.73,2:10.19
5,13.73,2:46.488,3,10.16,2:20.127,1,10.13,2:19.992,6,13.17,3:06.075,4,10.62,2:21.455,2,9.88,2:20.065
