NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
3,14.50,14.50,4,14.66,14.66,2,14.32,14.32,1,14.30,14.30
2,11.10,25.60,4,11.17,25.83,1,11.16,25.48,3,11.44,25.74
2,10.91,36.51,4,10.82,36.65,1,10.90,36.38,3,10.90,36.64
2,10.50,47.01,4,10.60,47.25,1,10.50,46.88,3,10.49,47.13
2,10.17,57.18,4,10.18,57.43,1,10.21,57.09,3,10.16,57.29
1,9.20,1:06.38,4,9.40,1:06.83,2,9.45,1:06.54,3,9.42,1:06.71
1,8.68,1:15.06,4,8.90,1:15.73,2,8.75,1:15.29,3,8.91,1:15.62
1,8.77,1:23.83,4,8.83,1:24.56,2,8.68,1:23.97,3,8.92,1:24.54
1,9.04,1:32.867,3,9.09,1:33.644,2,9.01,1:32.976,0,,PEN
