Maryia TSIASELKINA POSITION,Maryia TSIASELKINA LAP TIME,Maryia TSIASELKINA ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME
2,8.10,8.10,1,7.66,7.66,3,8.22,8.22,4,8.32,8.32
4,10.65,18.75,1,9.70,17.36,2,10.25,18.47,3,10.17,18.49
4,10.23,28.98,1,9.28,26.64,3,9.69,28.16,2,9.61,28.10
4,10.16,39.14,1,9.61,36.25,3,9.62,37.78,2,9.53,37.63
4,10.57,49.71,1,9.97,46.22,3,9.77,47.531,2,9.75,47.38
