KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Philemon RAINER POSITION,Philemon RAINER LAP TIME,Philemon RAINER ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME
2,9.09,9.09,7,9.67,9.67,5,9.48,9.48,6,9.58,9.58,4,9.26,9.26,1,9.00,9.00,3,9.21,9.21
3,11.52,20.61,7,11.50,21.17,5,11.50,20.98,6,11.54,21.12,4,11.49,20.75,2,11.51,20.51,1,11.16,20.37
3,11.09,31.70,6,10.86,32.03,5,11.00,31.98,7,11.00,32.12,4,11.07,31.82,1,11.02,31.53,2,11.24,31.61
2,11.09,42.79,5,11.04,43.07,6,11.19,43.17,7,11.16,43.28,4,11.13,42.95,1,11.13,42.66,2,11.18,42.79
1,9.99,52.78,5,10.21,53.28,6,10.28,53.45,7,10.32,53.60,4,10.32,53.27,2,10.35,53.01,3,10.39,53.18
1,9.67,1:02.45,4,9.56,1:02.84,6,9.73,1:03.18,7,9.65,1:03.25,5,9.82,1:03.09,2,9.55,1:02.56,3,9.57,1:02.75
1,9.35,1:11.80,4,9.34,1:12.18,7,9.53,1:12.71,5,9.09,1:12.34,6,9.61,1:12.70,2,9.33,1:11.89,3,9.32,1:12.07
1,9.19,1:20.99,4,9.18,1:21.36,6,9.37,1:22.08,5,9.12,1:21.46,7,9.95,1:22.65,2,9.22,1:21.11,3,9.20,1:21.27
1,9.25,1:30.24,4,9.30,1:30.66,6,9.34,1:31.42,5,9.23,1:30.69,7,10.29,1:32.94,2,9.21,1:30.32,3,9.28,1:30.55
1,9.38,1:39.62,5,9.57,1:40.23,6,9.50,1:40.92,3,9.12,1:39.81,7,10.72,1:43.66,2,9.38,1:39.70,4,9.65,1:40.20
2,9.60,1:49.22,4,9.95,1:50.18,6,9.71,1:50.63,3,9.51,1:49.32,7,10.99,1:54.65,1,9.50,1:49.20,5,10.20,1:50.40
3,9.83,1:59.05,4,10.32,2:00.50,5,9.96,2:00.59,2,9.53,1:58.85,7,11.27,2:05.92,1,9.49,1:58.69,6,10.63,2:01.03
3,9.88,2:08.93,5,10.73,2:11.23,4,10.09,2:10.68,2,9.54,2:08.39,7,11.49,2:17.41,1,9.37,2:08.06,6,11.27,2:12.30
3,10.18,2:19.099,5,11.02,2:22.227,4,10.40,2:21.031,2,10.11,2:18.481,7,11.61,2:29.001,1,9.44,2:17.482,6,11.97,2:24.251
