KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,12.78,12.78,1,12.67,12.67,4,13.04,13.04,3,12.91,12.91
2,9.63,22.41,1,9.67,22.34,4,9.60,22.64,3,9.59,22.50
2,9.68,32.09,1,9.67,32.01,4,9.65,32.29,3,9.71,32.21
2,9.59,41.68,1,9.60,41.61,4,9.57,41.86,3,9.51,41.72
2,9.49,51.17,1,9.49,51.10,3,9.42,51.28,4,9.74,51.46
2,9.35,1:00.52,1,9.36,1:00.46,3,9.34,1:00.62,4,9.26,1:00.72
2,9.22,1:09.74,1,9.20,1:09.66,4,11.84,1:12.46,3,9.19,1:09.91
2,9.28,1:19.02,1,9.33,1:18.99,4,18.30,1:30.76,3,9.52,1:19.43
1,9.26,1:28.280,2,9.74,1:28.722,0,,PEN,3,9.53,1:28.959
