CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
2,7.12,7.12,5,7.67,7.67,1,6.97,6.97,4,7.24,7.24,3,7.21,7.21
2,8.74,15.86,5,9.57,17.24,1,8.70,15.67,4,9.15,16.39,3,8.85,16.06
2,8.34,24.20,5,9.00,26.24,1,8.41,24.08,4,8.46,24.85,3,8.23,24.29
3,8.62,32.82,5,9.01,35.25,1,8.58,32.66,4,8.56,33.41,2,8.45,32.74
3,8.87,41.69,5,9.13,44.38,1,8.93,41.59,4,8.67,42.08,2,8.92,41.66
