Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,6.96,6.96,2,7.04,7.04,3,7.16,7.16,4,7.29,7.29
1,9.34,16.30,2,9.34,16.38,3,9.33,16.49,4,9.32,16.61
1,8.74,25.04,2,8.73,25.11,3,8.77,25.26,4,8.76,25.37
1,8.78,33.82,2,8.75,33.86,3,8.73,33.99,4,8.75,34.12
3,10.08,43.898,1,8.78,42.631,0,,PEN,2,9.02,43.133
