Wojciech KRASNICKI POSITION,Wojciech KRASNICKI LAP TIME,Wojciech KRASNICKI ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
1,13.43,13.43,3,13.61,13.61,2,13.50,13.50,5,13.89,13.89,4,13.79,13.79
4,10.62,24.05,2,10.31,23.92,1,10.35,23.85,5,10.31,24.20,3,10.14,23.93
4,10.39,34.44,3,10.37,34.29,2,10.34,34.19,5,10.26,34.46,1,10.15,34.08
5,9.95,44.39,4,9.99,44.28,3,9.97,44.16,1,9.42,43.88,2,9.96,44.04
5,9.59,53.98,4,9.55,53.83,2,9.50,53.66,1,9.62,53.50,3,9.64,53.68
5,9.70,1:03.68,4,9.72,1:03.55,2,9.63,1:03.29,1,9.66,1:03.16,3,9.73,1:03.41
5,9.73,1:13.41,4,9.62,1:13.17,2,9.63,1:12.92,1,9.63,1:12.79,3,9.66,1:13.07
5,9.90,1:23.31,4,10.06,1:23.23,1,9.15,1:22.07,2,9.42,1:22.21,3,9.89,1:22.96
4,10.16,1:33.469,5,10.80,1:34.026,1,9.46,1:31.527,2,9.47,1:31.679,3,10.14,1:33.099
