ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,9.75,9.75,3,9.80,9.80,6,10.05,10.05,1,9.62,9.62,4,9.88,9.88,5,9.94,9.94,8,10.47,10.47,7,10.22,10.22
2,13.46,23.21,3,13.57,23.37,7,13.72,23.77,1,13.45,23.07,5,13.75,23.63,4,13.61,23.55,8,13.71,24.18,6,13.47,23.69
1,11.47,34.68,4,11.72,35.09,7,11.68,35.45,3,11.92,34.99,6,11.67,35.30,5,11.66,35.21,8,11.49,35.67,2,11.14,34.83
1,11.49,46.17,4,11.44,46.53,5,11.17,46.62,3,11.42,46.41,7,11.41,46.71,6,11.44,46.65,8,11.25,46.92,2,11.46,46.29
2,10.67,56.84,5,10.63,57.16,1,10.08,56.70,4,10.65,57.06,7,10.63,57.34,6,10.62,57.27,8,10.45,57.37,3,10.64,56.93
3,10.43,1:07.27,6,10.41,1:07.57,1,10.45,1:07.15,5,10.43,1:07.49,8,10.38,1:07.72,7,10.37,1:07.64,2,9.86,1:07.23,4,10.46,1:07.39
3,10.23,1:17.50,6,10.20,1:17.77,2,10.23,1:17.38,5,10.17,1:17.66,7,10.12,1:17.84,8,10.35,1:17.99,1,10.09,1:17.32,4,10.19,1:17.58
3,10.55,1:28.05,6,10.56,1:28.33,2,10.57,1:27.95,5,10.58,1:28.24,8,10.69,1:28.53,7,10.47,1:28.46,1,10.50,1:27.82,4,10.57,1:28.15
2,10.29,1:38.34,6,10.47,1:38.80,3,10.46,1:38.41,5,10.44,1:38.68,8,10.53,1:39.06,7,10.47,1:38.93,1,10.46,1:38.28,4,10.36,1:38.51
1,9.62,1:47.96,6,9.76,1:48.56,3,9.77,1:48.18,5,9.78,1:48.46,8,9.81,1:48.87,7,9.90,1:48.83,2,9.78,1:48.06,4,9.82,1:48.33
2,9.89,1:57.85,6,9.75,1:58.31,3,9.80,1:57.98,5,9.69,1:58.15,7,10.12,1:58.99,8,10.31,1:59.14,1,9.62,1:57.68,4,9.74,1:58.07
2,9.76,2:07.61,6,9.80,2:08.11,3,9.65,2:07.63,5,9.71,2:07.86,7,10.17,2:09.16,8,10.16,2:09.30,1,9.72,2:07.40,4,9.70,2:07.77
2,9.84,2:17.45,6,10.18,2:18.29,3,9.94,2:17.57,4,9.87,2:17.73,7,10.34,2:19.50,8,10.37,2:19.67,1,9.93,2:17.33,5,10.28,2:18.05
0,,PHOTO,5,10.68,2:28.97,4,10.18,2:27.75,0,,PHOTO,6,10.48,2:29.98,7,10.69,2:30.36,1,10.31,2:27.64,8,13.44,2:31.49
