Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME
2,7.40,7.40,1,7.39,7.39,4,7.69,7.69,3,7.63,7.63
2,9.74,17.14,1,9.64,17.03,4,9.71,17.40,3,9.59,17.22
1,9.21,26.35,2,9.36,26.39,4,9.13,26.53,3,9.30,26.52
1,9.36,35.71,2,9.40,35.79,3,9.35,35.88,4,9.60,36.12
2,9.57,45.276,1,9.37,45.152,3,9.56,45.437,4,9.66,45.777
