Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,SIMON_FALSCH Jeffrey POSITION,SIMON_FALSCH Jeffrey LAP TIME,SIMON_FALSCH Jeffrey ELAPSED TIME
1,6.92,6.92,3,7.12,7.12,5,7.50,7.50,2,7.00,7.00,4,7.47,7.47
1,8.96,15.88,3,8.97,16.09,5,9.57,17.07,2,8.98,15.98,4,9.00,16.47
1,8.55,24.43,3,8.51,24.60,5,9.31,26.38,2,8.51,24.49,4,8.61,25.08
2,8.78,33.21,3,8.71,33.31,5,9.39,35.77,1,8.65,33.14,4,8.81,33.89
2,8.89,42.099,3,8.86,42.162,5,9.50,45.265,1,8.95,42.088,4,9.25,43.132
