Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,7.10,7.10,1,6.91,6.91,4,7.20,7.20,5,7.33,7.33,3,7.10,7.10
3,9.19,16.29,1,9.17,16.08,2,9.05,16.25,5,9.35,16.68,4,9.27,16.37
3,8.85,25.14,1,8.84,24.92,2,8.84,25.09,5,9.10,25.78,4,8.95,25.32
3,9.02,34.16,1,9.09,34.01,2,8.94,34.03,5,9.21,34.99,4,8.90,34.22
0,,PEN,1,9.39,43.400,3,9.60,43.630,4,9.74,44.728,2,9.22,43.432
