Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME
3,13.86,13.86,1,12.96,12.96,4,13.96,13.96,2,13.80,13.80
2,9.76,23.62,1,8.77,21.73,3,9.67,23.63,4,10.05,23.85
2,8.78,32.40,1,8.87,30.60,3,8.93,32.56,4,8.92,32.77
2,8.72,41.12,1,8.98,39.58,3,8.82,41.38,4,8.77,41.54
2,8.78,49.90,1,9.21,48.79,3,8.97,50.35,4,9.04,50.58
2,8.90,58.80,1,9.72,58.51,3,9.23,59.58,4,9.34,59.92
1,9.19,1:07.99,2,9.99,1:08.50,3,9.65,1:09.23,4,9.53,1:09.45
1,9.53,1:17.52,4,10.74,1:19.24,2,9.88,1:19.11,3,9.68,1:19.13
1,10.25,1:27.766,4,11.80,1:31.032,3,10.28,1:29.384,2,9.59,1:28.714
