UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
3,13.21,13.21,4,13.21,13.21,1,12.96,12.96,2,13.04,13.04
4,9.75,22.97,1,9.37,22.58,2,9.63,22.59,3,9.82,22.86
4,9.40,32.37,3,9.64,32.23,1,9.38,31.97,2,9.28,32.15
4,9.24,41.62,3,9.29,41.52,1,9.25,41.23,2,9.34,41.50
4,9.33,50.96,3,9.27,50.80,1,9.36,50.59,2,9.29,50.79
4,9.31,1:00.28,3,9.35,1:00.15,1,9.39,59.98,2,9.35,1:00.14
3,9.29,1:09.57,4,9.72,1:09.87,1,9.47,1:09.46,2,9.39,1:09.54
1,8.81,1:18.39,4,9.67,1:19.55,3,9.83,1:19.30,2,9.50,1:19.04
1,9.39,1:27.778,4,9.91,1:29.453,3,10.05,1:29.348,2,9.83,1:28.862
