SHIJIRBAATAR Shagdar POSITION,SHIJIRBAATAR Shagdar LAP TIME,SHIJIRBAATAR Shagdar ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME
4,7.889,7.889,1,6.744,6.744,2,7.243,7.243,3,7.375,7.375
4,10.798,18.686,1,9.703,16.446,2,9.705,16.947,3,9.576,16.950
4,10.740,29.426,1,9.618,26.064,3,9.411,26.357,2,9.308,26.257
3,11.154,40.580,2,9.863,35.927,4,20.373,46.730,1,9.249,35.506
3,11.47,52.050,2,11.55,47.469,4,12.87,59.598,1,9.88,45.379
