HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,9.57,9.57,5,9.85,9.85,4,9.77,9.77,3,9.72,9.72,1,9.36,9.36,6,10.07,10.07,7,10.21,10.21
2,12.53,22.10,5,12.49,22.34,3,12.36,22.13,4,12.51,22.23,1,12.58,21.94,6,12.42,22.49,7,12.43,22.64
3,11.23,33.33,5,11.20,33.54,1,10.97,33.10,4,11.21,33.44,2,11.26,33.20,7,11.32,33.81,6,11.01,33.65
3,10.91,44.24,6,11.01,44.55,2,11.04,44.14,5,11.00,44.44,1,10.79,43.99,7,10.92,44.73,4,10.70,44.35
3,10.60,54.84,6,10.56,55.11,1,10.47,54.61,5,10.57,55.01,2,10.71,54.70,7,10.49,55.22,4,10.57,54.92
2,10.15,1:04.99,6,10.17,1:05.28,1,10.28,1:04.89,4,10.12,1:05.13,2,10.29,1:04.99,7,10.27,1:05.49,5,10.33,1:05.25
2,9.16,1:14.15,1,8.86,1:14.14,3,9.36,1:14.25,4,9.25,1:14.38,5,9.43,1:14.42,7,9.14,1:14.63,6,9.24,1:14.49
2,9.25,1:23.40,1,9.18,1:23.32,3,9.25,1:23.50,4,9.22,1:23.60,6,9.34,1:23.76,7,9.24,1:23.87,5,9.19,1:23.68
2,9.44,1:32.84,1,9.44,1:32.76,3,9.43,1:32.93,4,9.42,1:33.02,6,9.45,1:33.21,7,9.45,1:33.32,5,9.42,1:33.10
1,9.15,1:41.99,2,9.34,1:42.10,3,9.27,1:42.20,4,9.27,1:42.29,6,9.28,1:42.49,7,9.28,1:42.60,5,9.29,1:42.39
1,9.01,1:51.00,2,9.03,1:51.13,3,9.02,1:51.22,4,9.01,1:51.30,6,9.01,1:51.50,7,8.92,1:51.52,5,8.99,1:51.38
1,8.86,1:59.86,3,8.97,2:00.10,4,8.94,2:00.16,2,8.63,1:59.93,7,8.97,2:00.47,6,8.85,2:00.37,5,8.84,2:00.22
1,8.74,2:08.60,7,9.51,2:09.61,3,8.89,2:09.05,2,8.77,2:08.70,6,9.06,2:09.53,5,8.96,2:09.33,4,8.88,2:09.10
1,8.79,2:17.39,7,10.96,2:20.574,4,8.99,2:18.04,2,8.74,2:17.44,6,9.28,2:18.816,5,8.92,2:18.258,3,8.84,2:17.94
