Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
4,13.32,13.32,2,13.05,13.05,1,12.93,12.93,3,13.23,13.23
4,10.43,23.75,2,10.45,23.50,1,10.44,23.37,3,10.38,23.61
3,9.96,33.71,2,10.13,33.63,1,10.19,33.56,4,10.18,33.79
3,9.76,43.47,2,9.73,43.36,1,9.66,43.22,4,9.78,43.57
3,9.43,52.90,2,9.46,52.82,1,9.45,52.67,4,9.46,53.03
3,9.69,1:02.59,2,9.68,1:02.50,1,9.71,1:02.38,4,9.69,1:02.72
3,9.71,1:12.30,2,9.75,1:12.25,1,9.76,1:12.14,4,9.73,1:12.45
4,9.91,1:22.21,3,9.65,1:21.90,1,9.29,1:21.43,2,9.11,1:21.56
4,9.38,1:31.591,3,9.22,1:31.114,1,9.17,1:30.592,2,9.23,1:30.781
