Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
4,9.54,9.54,1,9.06,9.06,2,9.19,9.19,3,9.32,9.32,5,9.76,9.76
4,14.01,23.55,1,14.08,23.14,2,14.05,23.24,3,14.04,23.36,5,13.94,23.70
4,13.89,37.44,1,14.02,37.16,2,14.01,37.25,3,13.97,37.33,5,13.89,37.59
4,13.07,50.51,2,13.14,50.30,1,12.98,50.23,3,12.99,50.32,5,13.09,50.68
4,11.87,1:02.38,3,11.89,1:02.19,2,11.85,1:02.08,1,11.62,1:01.94,5,11.85,1:02.53
4,11.18,1:13.56,2,11.01,1:13.20,1,11.01,1:13.09,3,11.46,1:13.40,5,11.14,1:13.67
4,11.03,1:24.59,3,11.22,1:24.42,2,11.24,1:24.33,1,10.91,1:24.31,5,11.00,1:24.67
4,10.71,1:35.30,3,10.75,1:35.17,1,10.61,1:34.94,2,10.73,1:35.04,5,10.72,1:35.39
4,10.42,1:45.72,3,10.41,1:45.58,1,10.49,1:45.43,2,10.39,1:45.43,5,10.43,1:45.82
4,10.31,1:56.03,3,10.32,1:55.90,2,10.37,1:55.80,1,10.29,1:55.72,5,10.32,1:56.14
4,10.35,2:06.38,3,10.40,2:06.30,2,10.31,2:06.11,1,10.30,2:06.02,5,10.34,2:06.48
4,10.16,2:16.54,3,10.20,2:16.50,1,10.12,2:16.23,2,10.37,2:16.39,5,10.19,2:16.67
1,9.78,2:26.32,5,10.37,2:26.87,2,10.11,2:26.34,4,10.41,2:26.80,3,9.77,2:26.44
1,9.70,2:36.011,4,10.54,2:37.407,3,10.40,2:36.736,5,10.62,2:37.416,2,9.61,2:36.041
