Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME,WANG Ye POSITION,WANG Ye LAP TIME,WANG Ye ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Renee Marie STEENGE POSITION,Renee Marie STEENGE LAP TIME,Renee Marie STEENGE ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
4,13.92,13.92,2,13.77,13.77,5,14.01,14.01,1,13.74,13.74,3,13.80,13.80
4,10.18,24.10,2,10.28,24.05,1,9.96,23.97,5,10.38,24.12,3,10.26,24.06
4,10.01,34.11,2,9.89,33.94,5,10.20,34.17,3,9.97,34.09,1,9.85,33.91
5,9.64,43.75,2,9.61,43.55,4,9.56,43.73,3,9.60,43.69,1,9.43,43.34
3,9.77,53.52,2,9.76,53.31,4,9.90,53.63,4,9.94,53.63,1,9.95,53.29
3,9.55,1:03.07,2,9.64,1:02.95,5,9.77,1:03.40,4,9.52,1:03.15,1,9.62,1:02.91
3,9.69,1:12.76,1,9.58,1:12.53,5,9.54,1:12.94,4,9.70,1:12.85,2,9.75,1:12.66
3,9.56,1:22.32,1,9.43,1:21.96,5,9.63,1:22.57,4,9.60,1:22.45,2,9.48,1:22.14
4,10.11,1:32.432,1,9.90,1:31.862,5,10.06,1:32.634,3,9.97,1:32.426,2,9.82,1:31.965
